Title,Agency,CloseDate,DaysLeft,OppNumber,Category,Eligibility,URL,Score,ScoreBreakdown
Notice of Intent to Publish a Funding Opportunity Announcement for NIEHS Worker Training Program&rsquo;s Hazardous Materials Worker Health and Safety Training (U45 &ndash; Clinical Trials Not Allowed),National Institutes of Health,,,TEMP-31337,Not specified,Not specified,Not specified,4,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 1, ""MissionPts"": 0, ""ProgramPts"": 0, ""TechPts"": 4}"
ANNUAL PROGRAM STATEMENT - PUBLIC AFFAIRS ITALY,U.S. Mission to Italy,,,ROMENOFO002DOSEUR,Not specified,Not specified,Not specified,4,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 1, ""MissionPts"": 0, ""ProgramPts"": 0, ""TechPts"": 4}"
Understanding the Intersection of Forced Scamming and Child Labor in Southeast Asia,Bureau of International Labor Affairs,,,RFI-ILAB-24-01,Not specified,Not specified,Not specified,4,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 1, ""MissionPts"": 0, ""ProgramPts"": 0, ""TechPts"": 4}"
NIEHS Worker Training Program&rsquo;s SBIR E-Learning for HAZMAT and Emergency Response (R43/R44 Clinical Trial Not Allowed),National Institutes of Health,,,TEMP-30794,Not specified,Not specified,Not specified,4,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 1, ""MissionPts"": 0, ""ProgramPts"": 0, ""TechPts"": 4}"
Air Delivered Effects,Munitions Directorate,03/21/2027,523.0,FA8651-22-S-0001,Not specified,Not specified,Not specified,4,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 1, ""MissionPts"": 0, ""ProgramPts"": 0, ""TechPts"": 4}"
Continuing Human Enabling Enhancing Restoring and Sustaining,Air Force -- Research Lab,08/22/2044,6887.0,FA238424S2233,Not specified,Not specified,Not specified,4,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 1, ""MissionPts"": 0, ""ProgramPts"": 0, ""TechPts"": 4}"
  Regional Resource Condition Assessment ,National Park Service,,,P16AS00333,Not specified,Not specified,Not specified,4,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 1, ""MissionPts"": 0, ""ProgramPts"": 0, ""TechPts"": 4}"
NIST MEP Disaster Assessment Program,National Institute of Standards and Technology,,,2020-NIST-MEP-MDAP-01,Not specified,Not specified,Not specified,4,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 1, ""MissionPts"": 0, ""ProgramPts"": 0, ""TechPts"": 4}"
Department of Defense HIV/AIDS Prevention Program,Dept. of the Army -- USAMRAA,09/18/2027,704.0,W81XWH-22-DHAPP,Not specified,Not specified,Not specified,4,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 1, ""MissionPts"": 0, ""ProgramPts"": 0, ""TechPts"": 4}"
Research and Development (RAD) Directed Energy (RD) University Assistance Instruments,Air Force -- Research Lab,07/18/2029,1373.0,RDK-RAD-FOA-2024,Not specified,Not specified,Not specified,4,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 1, ""MissionPts"": 0, ""ProgramPts"": 0, ""TechPts"": 4}"
FY24-25 Federal-State Partnership for Intercity Passenger Rail Grant Program - National,DOT - Federal Railroad Administration,01/07/2026,85.0,FR-FSP-25-006,Not specified,Not specified,Not specified,4,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 1, ""MissionPts"": 0, ""ProgramPts"": 0, ""TechPts"": 4}"
